iter	Passed	Remaining
0	2	2051
1	4	2261
2	7	2349
3	9	2404
4	12	2416
5	14	2424
6	17	2465
7	19	2456
8	22	2457
9	24	2456
10	27	2454
11	29	2451
12	32	2443
13	34	2437
14	37	2440
15	39	2439
16	42	2430
17	44	2426
18	46	2424
19	49	2428
20	52	2431
21	55	2471
22	58	2491
23	61	2485
24	63	2478
25	65	2472
26	68	2467
27	70	2463
28	73	2457
29	75	2450
30	78	2446
31	80	2448
32	83	2449
33	86	2448
34	88	2444
35	91	2441
36	93	2438
37	96	2434
38	99	2445
39	102	2461
40	105	2466
41	108	2470
42	111	2476
43	114	2479
44	116	2478
45	119	2473
46	121	2471
47	124	2467
48	127	2469
49	129	2466
50	132	2461
51	134	2458
52	137	2452
53	139	2448
54	142	2444
55	144	2444
56	147	2440
57	150	2438
58	152	2434
59	155	2429
60	157	2424
61	159	2419
62	162	2416
63	165	2415
64	167	2411
65	170	2407
66	172	2404
67	175	2399
68	177	2400
69	180	2396
70	182	2393
71	185	2388
72	187	2384
73	190	2380
74	192	2376
75	194	2368
76	197	2365
77	199	2361
78	202	2358
79	204	2354
80	207	2351
81	209	2344
82	211	2341
83	214	2334
84	216	2330
85	218	2327
86	221	2324
87	223	2317
88	225	2312
89	228	2306
90	230	2299
91	232	2293
92	234	2286
93	236	2280
94	238	2275
95	240	2269
96	243	2264
97	245	2258
98	247	2252
99	249	2247
100	251	2241
101	253	2235
102	256	2230
103	258	2223
104	260	2218
105	262	2212
106	264	2206
107	266	2201
108	268	2196
109	270	2192
110	273	2187
111	275	2181
112	277	2175
113	279	2169
114	281	2164
115	283	2159
116	285	2156
117	287	2151
118	290	2147
119	292	2143
120	294	2139
121	296	2134
122	298	2130
123	301	2129
124	304	2131
125	306	2128
126	309	2127
127	312	2125
128	314	2121
129	316	2118
130	318	2115
131	321	2112
132	323	2108
133	325	2104
134	327	2100
135	329	2096
136	332	2092
137	334	2088
138	336	2086
139	339	2084
140	341	2082
141	343	2078
142	346	2076
143	349	2074
144	351	2074
145	354	2075
146	357	2073
147	359	2071
148	361	2067
149	364	2066
150	366	2062
151	368	2057
152	370	2053
153	373	2049
154	375	2046
155	377	2042
156	379	2039
157	382	2038
158	385	2039
159	387	2035
160	389	2032
161	392	2028
162	394	2024
163	396	2020
164	398	2017
165	400	2013
166	402	2009
167	405	2005
168	407	2002
169	409	1999
170	411	1996
171	413	1992
172	415	1988
173	418	1984
174	420	1981
175	422	1977
176	424	1974
